"จังหวัด","โรคสมองเสื่อม","ติดแอลกอฮอล์","ติดยาบ้า (Amphetamine)","ติดสารเสพติดอื่นๆ","โรคจิตเภท","โรคจิตอื่นๆ","โรคอารมณ์สองขั้ว","โรคชึมเศร้า","โรควิตกกังวล","ความบกพร่องทางสติปัญญา","ความบกพร่องทางการเรียนรู้","โรคออทิสติก","โรคสมาธิสั้น","พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง)","ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป)","ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี)","โรคทางจิตเวชอื่นๆ","โรคลมชัก","รวม"
"กรุงเทพมหานคร","1,018","365","359","468","1,967","412","437","12,215","2,686","1,134","508","1,195","2,351","665","28","48","3,600","1,884","31,340"
"สมุทรปราการ","146","326","435","198","888","227","46","4,839","1,095","138","181","166","804","405","0","6","1,631","741","12,272"
"นนทบุรี","630","468","429","787","1,636","348","339","3,917","2,555","512","303","395","1,162","343","7","12","4,403","1,410","19,656"
"ปทุมธานี","179","215","493","423","1,439","409","84","3,060","1,603","213","139","224","440","179","4","3","3,123","783","13,013"
"พระนครศรีอยุธยา","78","375","597","680","720","207","44","3,332","878","52","57","60","134","240","2","0","1,841","419","9,716"
"อ่างทอง","162","239","291","141","507","128","60","1,766","569","249","66","191","216","70","0","3","767","291","5,716"
"ลพบุรี","198","543","830","815","1,280","355","82","3,714","1,597","118","203","101","456","294","0","2","2,359","694","13,641"
"สิงห์บุรี","142","124","198","81","371","113","22","1,564","541","18","8","18","51","77","0","0","1,181","148","4,657"
"ชัยนาท","222","295","380","2,147","800","194","42","2,626","1,601","51","10","17","60","113","0","2","2,830","404","11,794"
"สระบุรี","219","365","307","392","1,457","233","146","2,814","1,454","174","262","116","427","226","0","1","2,706","878","12,177"
"ชลบุรี","983","666","1,382","1,631","1,643","715","174","3,552","2,755","250","95","195","450","553","0","12","4,564","2,006","21,626"
"ระยอง","825","803","1,737","736","1,395","897","359","2,377","5,138","158","103","156","609","365","4","1","2,935","2,024","20,622"
"จันทบุรี","292","481","308","998","1,295","332","297","1,939","1,346","200","198","131","447","426","3","0","2,225","1,122","12,040"
"ตราด","138","541","597","429","680","217","74","1,259","579","120","208","51","250","88","0","0","1,130","648","7,009"
"ฉะเชิงเทรา","124","1,107","504","983","657","284","25","2,457","556","64","75","39","170","133","0","1","1,328","584","9,091"
"ปราจีนบุรี","138","404","745","102","940","225","36","1,057","1,268","77","43","63","244","143","0","1","1,069","711","7,266"
"นครนายก","75","88","169","396","314","44","23","732","332","49","39","47","145","53","0","2","318","164","2,990"
"สระแก้ว","147","706","966","306","1,341","403","85","1,553","1,866","146","72","65","151","229","1","1","2,270","677","10,985"
"นครราชสีมา","1,549","11,229","2,496","13,608","7,219","2,560","749","11,001","8,874","815","261","343","1,067","628","1","8","12,271","3,722","78,401"
"บุรีรัมย์","422","3,193","2,409","6,797","5,132","1,824","225","6,704","2,835","170","76","80","455","484","2","3","4,500","2,511","37,822"
"สุรินทร์","206","2,689","850","4,595","2,543","864","61","4,673","2,185","119","104","64","320","366","0","5","3,032","1,057","23,733"
"ศรีสะเกษ","974","7,847","4,876","6,193","7,400","4,560","366","9,242","15,676","916","293","376","2,732","539","2","12","6,013","3,828","71,845"
"อุบลราชธานี","891","6,666","6,210","5,664","8,870","3,280","632","10,240","14,187","1,218","319","658","2,741","262","2","51","10,385","5,627","77,903"
"ยโสธร","111","653","345","1,145","1,898","712","89","2,190","1,452","140","41","117","384","76","0","4","1,098","454","10,909"
"ชัยภูมิ","393","6,355","925","16,569","2,524","1,110","168","5,457","2,262","274","69","96","359","315","2","2","2,132","927","39,939"
"อำนาจเจริญ","160","578","530","255","1,583","450","51","1,801","1,233","172","68","99","350","97","0","8","984","617","9,036"
"บึงกาฬ","30","232","358","260","633","158","22","1,319","206","28","7","24","35","99","0","7","330","239","3,987"
"หนองบัวลำภู","667","256","117","101","1,093","184","36","3,199","1,358","71","14","35","46","126","0","0","859","448","8,610"
"ขอนแก่น","1,206","4,358","2,974","4,334","5,726","2,190","478","7,404","9,760","591","396","388","1,046","512","7","35","6,460","2,560","50,425"
"อุดรธานี","553","1,344","2,134","745","3,724","866","444","4,999","7,642","368","112","281","501","265","1","2","2,534","2,329","28,844"
"เลย","134","333","348","716","1,203","220","15","3,121","1,175","69","70","46","114","287","0","2","964","557","9,374"
