"จังหวัด","โรคสมองเสื่อม","ติดแอลกอฮอล์","ติดยาบ้า (Amphetamine)","ติดสารเสพติดอื่นๆ","โรคจิตเภท","โรคจิตอื่นๆ","โรคอารมณ์สองขั้ว","โรคชึมเศร้า","โรควิตกกังวล","ความบกพร่องทางสติปัญญา","ความบกพร่องทางการเรียนรู้","โรคออทิสติก","โรคสมาธิสั้น","พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง)","ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป)","ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี)","โรคทางจิตเวชอื่นๆ","โรคลมชัก","รวม"
"กรุงเทพมหานคร","3,025","1,883","1,974","1,686","13,255","2,612","2,613","13,460","12,185","2,031","905","2,526","4,501","539","95","210","14,174","5,088","77,674"
"สมุทรปราการ","726","999","1,192","360","3,810","907","591","5,313","4,340","1,383","876","2,154","3,755","425","15","136","10,707","2,507","37,689"
"นนทบุรี","992","657","491","592","3,164","670","356","5,293","4,403","832","342","683","1,536","222","23","47","5,940","1,988","26,243"
"ปทุมธานี","404","481","526","486","2,767","661","128","3,212","2,342","343","204","355","652","156","4","15","3,566","1,312","16,302"
"พระนครศรีอยุธยา","344","878","1,725","678","2,259","963","197","3,381","2,538","297","159","281","670","263","2","12","4,288","1,591","18,935"
"อ่างทอง","310","309","611","251","959","208","1,442","2,253","928","204","95","233","338","77","0","6","1,224","567","9,448"
"ลพบุรี","606","1,372","1,321","958","2,030","668","197","3,767","2,834","330","456","311","1,008","231","2","12","3,832","1,597","19,935"
"สิงห์บุรี","518","281","417","202","701","284","150","1,588","1,223","97","57","67","287","68","0","5","958","468","6,903"
"ชัยนาท","477","454","785","208","1,109","426","78","2,548","2,676","133","37","59","213","124","1","5","1,118","859","10,451"
"สระบุรี","443","790","637","368","2,510","475","127","3,001","2,214","386","570","292","1,121","193","1","7","4,474","1,713","17,609"
"ชลบุรี","710","1,512","2,436","869","3,360","1,561","511","4,037","4,217","580","234","529","937","474","5","86","5,614","3,762","27,672"
"ระยอง","418","683","1,440","1,329","1,494","1,031","316","2,520","3,799","152","96","186","593","349","4","12","2,633","2,157","17,055"
"จันทบุรี","441","946","656","805","1,810","606","448","2,210","2,179","333","363","183","772","364","12","11","2,677","1,806","14,816"
"ตราด","161","569","675","471","751","263","80","1,292","799","112","272","68","251","97","1","4","805","743","6,671"
"ฉะเชิงเทรา","460","1,107","1,304","316","1,875","769","330","2,756","1,638","259","187","215","947","235","5","10","3,358","1,645","15,771"
"ปราจีนบุรี","284","687","792","423","1,324","330","435","1,167","1,182","136","66","101","348","113","0","11","2,100","1,086","9,499"
"นครนายก","216","386","1,043","520","886","128","291","818","793","111","53","62","165","47","2","9","816","563","6,346"
"สระแก้ว","301","1,336","1,753","702","1,978","774","136","1,760","2,462","322","131","204","428","199","1","10","2,332","1,159","14,829"
"นครราชสีมา","2,288","6,357","3,850","2,720","8,723","3,739","308","12,441","9,820","1,257","422","713","2,364","745","4","43","10,875","6,471","66,669"
"บุรีรัมย์","1,073","5,219","3,971","2,946","6,580","2,302","260","6,864","4,355","793","443","279","1,957","432","5","26","6,847","4,613","44,352"
"สุรินทร์","566","4,601","2,125","1,055","5,332","2,119","667","5,097","4,615","382","281","246","1,479","278","0","36","5,511","3,289","34,390"
"ศรีสะเกษ","907","6,412","3,819","2,872","6,716","4,205","278","8,784","8,429","696","229","327","2,094","500","3","29","6,227","3,870","52,527"
"อุบลราชธานี","999","6,154","6,361","6,320","8,082","3,108","109","9,792","10,764","1,073","297","599","3,043","241","5","57","9,190","5,993","66,194"
"ยโสธร","207","1,058","1,302","224","2,421","1,103","214","2,284","1,770","310","65","100","871","64","2","9","2,105","1,351","14,109"
"ชัยภูมิ","769","3,227","3,754","1,768","4,261","2,184","347","5,569","4,480","333","251","233","963","296","2","42","4,965","2,858","33,444"
"อำนาจเจริญ","230","1,048","1,014","118","1,686","705","167","1,877","1,712","182","107","98","623","142","0","5","1,702","950","11,416"
"บึงกาฬ","139","736","1,935","236","1,622","588","431","1,283","797","96","30","96","237","166","1","129","1,313","855","9,835"
"หนองบัวลำภู","261","1,192","978","243","2,166","668","529","3,181","1,506","173","56","89","215","101","4","19","1,384","1,105","12,765"
"ขอนแก่น","1,460","4,539","5,184","3,653","6,775","2,691","632","7,832","9,407","733","529","622","1,851","541","9","126","9,455","4,468","56,039"
"อุดรธานี","738","2,776","4,032","1,840","5,748","1,529","214","5,076","4,253","569","155","351","540","242","3","29","4,760","3,674","32,855"
"เลย","463","1,602","2,189","81","2,351","967","232","3,323","4,522","351","153","158","597","317","3","21","2,574","1,613","19,904"
"หนองคาย","217","852","1,290","146","1,705","710","135","1,731","1,192","129","78","136","277","106","3","9","1,960","1,174","10,676"
"มหาสารคาม","650","4,088","2,693","4,110","3,050","1,879","404","3,478","2,801","262","110","221","605","146","33","42","3,125","2,410","27,697"
"ร้อยเอ็ด","442","3,960","3,011","2,655","5,620","2,175","283","3,909","3,922","375","164","368","1,505","244","2","61","5,214","2,706","33,910"
"กาฬสินธุ์","419","1,616","3,106","1,717","4,306","3,225","257","3,377","5,005","286","164","193","674","149","5","39","3,011","2,209","27,549"
"สกลนคร","462","2,517","2,480","1,442","5,017","1,537","208","5,145","2,546","395","236","218","688","261","0","417","4,151","2,594","27,720"
"นครพนม","350","1,438","1,359","156","3,716","1,141","1,231","2,265","2,840","381","148","409","1,014","160","1","613","3,605","1,707","20,827"
"มุกดาหาร","174","863","2,431","180","1,898","983","493","1,988","1,116","194","387","150","691","66","6","30","1,761","918","13,411"
"เชียงใหม่","1,338","5,499","5,109","2,677","5,179","1,720","136","12,609","8,936","1,099","1,893","1,327","4,431","501","13","61","14,761","5,008","67,289"
"ลำพูน","547","1,581","1,779","1,407","1,500","391","62","4,176","2,468","290","819","199","966","185","0","27","3,592","1,547","19,989"
"ลำปาง","686","2,056","2,334","290","2,373","1,115","524","4,202","5,385","704","1,316","458","2,432","154","3","11","7,271","2,578","31,314"
"อุตรดิตถ์","164","521","735","182","869","260","205","1,783","732","138","184","75","509","83","0","3","1,721","727","8,164"
"แพร่","310","1,084","1,633","191","1,302","368","173","2,302","2,135","113","218","182","286","137","0","13","1,384","1,017","11,831"
"น่าน","239","1,482","1,726","1,514","1,182","473","687","2,361","3,007","319","97","205","1,498","167","1","27","4,631","1,542","19,616"
"พะเยา","391","1,673","1,801","938","1,675","666","603","3,661","2,597","258","261","296","589","215","1","25","2,880","1,609","18,530"
"เชียงราย","660","3,263","2,972","1,201","3,961","1,037","401","7,632","5,212","486","414","418","1,747","440","4","53","5,814","3,863","35,715"
"แม่ฮ่องสอน","101","780","175","60","694","220","221","2,094","1,614","95","87","101","298","117","0","10","1,423","786","8,090"
"นครสวรรค์","911","1,571","1,214","686","3,057","1,623","207","5,554","5,069","400","160","292","988","422","3","15","3,205","2,608","25,377"
"อุทัยธานี","346","984","764","105","856","509","219","1,612","1,392","231","28","59","179","128","1","4","819","887","8,236"
"กำแพงเพชร","290","2,136","1,003","1,584","1,743","656","192","2,585","1,795","158","225","112","520","216","1","6","1,963","1,709","15,185"
"ตาก","313","1,041","561","325","1,693","408","397","2,482","1,770","125","367","190","635","156","3","16","2,531","1,443","13,013"
"สุโขทัย","512","1,058","1,736","115","1,842","467","551","3,157","1,744","222","139","124","269","172","1","12","2,086","1,469","14,207"
"พิษณุโลก","940","1,673","1,713","520","2,468","617","271","4,647","2,907","522","447","369","1,462","274","2","10","4,508","2,242","23,350"
"พิจิตร","679","832","628","229","1,468","828","507","2,520","1,947","170","288","112","455","145","1","5","2,101","1,092","12,915"
"เพชรบูรณ์","549","1,657","1,901","880","3,286","1,195","287","3,921","2,342","402","397","230","713","217","0","6","3,708","2,128","21,691"
"ราชบุรี","801","864","966","667","2,296","961","1,105","2,935","2,782","484","553","396","1,333","275","8","42","7,277","2,132","23,745"
"กาญจนบุรี","422","960","1,061","182","1,893","534","251","2,641","1,764","235","188","203","655","391","1","4","3,005","1,931","14,390"
"สุพรรณบุรี","736","995","1,458","122","2,287","691","97","3,971","2,399","379","258","229","893","354","5","19","3,324","2,270","18,217"
"นครปฐม","507","426","477","232","1,974","635","1,380","2,740","2,163","289","247","284","896","217","7","33","3,322","1,431","15,829"
"สมุทรสาคร","367","363","262","246","1,060","399","240","1,974","1,431","280","383","272","1,043","93","3","46","3,429","729","11,891"
"สมุทรสงคราม","110","56","114","17","502","119","240","497","458","40","35","86","248","41","2","4","725","333","3,294"
